hashname,timetoloadsec,probability,total,dedup,estimate
MD5,13217.920238861,0.03241996087747772,180379433,173514613,1.747241021573594E8 
SHA256,13449.350930402,0.03241561236920862,180379433,173512065,1.7471731174899763E8
SHA384,13137.056690451,0.032420562185595345,180379433,173513845,1.7472504108660084E8
SHA512,13121.043975483,0.03241860190238656,180379433,173513867,1.7472198010970098E8
Murmur3KM,12707.345230479,0.029689854487286428,180379433,173267460,1.7034837900946057E8
Murmur3,12816.370723876,0.03242354898684507,180379433,173516321,1.7472970475619653E8
RNG,12510.0895762,0.03125156197386034,180379433,170198996,1.7287961618802726E8
CRC32,12385.426517057,0.028196746904126036,180379433,163186855,1.6785197146666256E8
