hashnumber,probability,population,timetoloadsec
3,0.0404155082297437,172723470,11712.834790779
4,0.03388706059793876,173299137,12121.447847003
5,0.03242354898684507,173516321,12605.613721426    
6,0.03379030558075498,173572219,12887.928709088
9,0.049846295483374464,173266544,14186.55771208
12,0.08446316556394022,172380776,15379.294600406
15,0.14143013643106353,170780532,16495.399089904
18,0.22165273543324232,168277016,17602.667243955
21,0.32049206872984076,164778056,18887.181780578
